,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Bedrooms,Bathrooms,Toilets,Parking Spaces,   ,Servicing,Service Charge,Furnishing,Total Area,Covered Area
34, per annum,"1,100,000", Mini Flat (Room and Parlour)," Ikate Elegushi, Lekki, Lagos", 1311365, 06 May 2022, 06 May 2022, Available, 1,,,,,,,,,
35, per annum,"400,000", Self Contain (Single Rooms)," Therra Zone Peace Estate, Sangotedo, Ajah, Lagos", 1311364, 06 May 2022, 06 May 2022, Available,, 4, 4,, ,,,,,
36, per annum,"3,000,000", Flat / Apartment," Chevron Drive, Lekki Phase 2, Lekki, Lagos", 1311362, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
37, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1311352, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 5,,,,,,
38, per annum,"3,000,000", Flat / Apartment," Bera Estate, Lekki, Lagos", 1311348, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 3,,,,,,
39, per annum,"12,000,000", Flat / Apartment," Ikoyi Lagos Nigeria, Ikoyi, Lagos", 1311340, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 15, ,,,," 3,000 sqm"," 1,500 sqm"
40, per annum,"1,700,000", Self Contain (Single Rooms)," Jakande By Salem Bus Stop, Lekki, Lagos", 1311332, 06 May 2022, 06 May 2022, Available,, 1, 1, 1, , Serviced," ₦25,000 per month",,,
41, per annum,"6,500,000", Terraced Duplex," Ikeja GRA, Ikeja, Lagos", 1311331, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
42, per day,"60,000", Conference / Meeting / Training Room," Kado, Abuja", 638818, 05 Jun 2020, 04 Mar 2022, Available,,,, 10,,,,,,
43, per annum,"3,500,000", House," Thomas Estate, Ajah, Lagos", 1266462, 22 Mar 2022, 06 May 2022, Available, 4,, 4,, ,,,,,
44, per annum,"5,500,000", Detached Duplex," Lafiaji, Lekki, Lagos", 1288899, 13 Apr 2022, 13 Apr 2022, Available, 4, 4, 5, 3,,,,,,
45, per annum,"5,000,000", Detached Duplex," Ikota, Lekki, Lagos", 1302534, 27 Apr 2022, 27 Apr 2022, Available, 4, 6, 5, 3,,,,,,
46, per annum,"900,000", Flat / Apartment," Before Lagos Business School, Olokonla, Ajah, Lagos", 1311278, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 3,,,,,,
47, per annum,"1,500,000", Flat / Apartment," Market Square, Ago Palace, Isolo, Lagos", 1237807, 24 Feb 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
48, per annum,"1,200,000", Flat / Apartment," Off Grandmate, Ago Palace, Isolo, Lagos", 1252782, 09 Mar 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
49, per annum,"3,000,000", Flat / Apartment," Oniru Estate, Oniru, Victoria Island (VI), Lagos", 1311391, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 2, , Serviced," ₦2,015,000 per annum",,,
50, per annum,"2,700,000", Flat / Apartment," Glory Court Estate, Omole Phase 1, Ikeja, Lagos", 1311390, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
51, per annum,"8,000,000", Semi-detached Duplex," Sonibare Estate , Ikeja Gra Extension, Ikeja GRA, Ikeja, Lagos", 1311378, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 5,, Serviced," ₦2,500,000 per annum", Furnished,,
52, per annum,"20,000,000", Detached Duplex," By Governors Lodges., Asokoro District, Abuja", 1311386, 06 May 2022, 06 May 2022, Available, 8, 8, 9,, ,,,,,
53, per annum,"5,000,000", Detached Duplex," Oral Estate, Lekki, Lagos", 1311377, 06 May 2022, 06 May 2022, Available, 5, 5, 6, 4,,,,,,
