,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Bedrooms,Bathrooms,Toilets,Parking Spaces,Servicing,Service Charge,   ,Total Area,Covered Area,Furnishing
46, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2, 1, Serviced," ₦11,000 per annum",, 600 sqm, 500 sqm,
47, per annum,"12,000,000", Flat / Apartment," 1004 Estate, Victoria Island (VI), Lagos", 1308811, 04 May 2022, 05 May 2022, Available, 2, 2, 2, 4, Serviced,, ,,, Furnished
48, per annum,"5,000,000", Flat / Apartment," Off Marwa Bus Stop Lekki Phase 1, Lekki Phase 1, Lekki, Lagos", 1310460, 05 May 2022, 05 May 2022, Available, 2, 2, 3, 2, Serviced," ₦1,300,000 per annum", ," 1,000 sqm", 600 sqm,
49, per annum,"1,300,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1310459, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 2,,,,,,
50, per annum,"6,000,000", Flat / Apartment," Chevron Drive, Ikota, Lekki, Lagos", 1310456, 05 May 2022, 05 May 2022, Available, 4, 4, 5, 4, Serviced," ₦70,000 per month", ,,,
51, per annum,"10,000,000", House," Alausa, Alausa, Ikeja, Lagos", 1310431, 05 May 2022, 05 May 2022, Available, 4, 4, 5,,,, ,,,
52, per annum,"2,000,000", Flat / Apartment," Borno Way, Ebute Metta East, Yaba, Lagos", 1310426, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6, Serviced," ₦240,000 per annum",,,, Furnished
53, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1310422, 05 May 2022, 05 May 2022, Available, 1, 1, 2, 1,,, ,,, Furnished
54, per annum,"450,000", Self Contain (Single Rooms)," Behind Abraham Adesanya, Roi Estate, Opposite Lekki Scheme 2, Ajiwe, Ajah, Lagos", 1310419, 05 May 2022, 05 May 2022, Available,, 1, 1, 3,,, ,,,
55, per annum,"10,500,000", Flat / Apartment," Victoria Island (VI), Lagos", 1229072, 16 Feb 2022, 05 May 2022, Available, 1, 1, 1, 1, Serviced," ₦5,500,000 per annum", ,,,
56, per annum,"1,000,000", Flat / Apartment," Destiny Homes Estate, Thomas, Ajah, Lagos", 1310402, 05 May 2022, 05 May 2022, Available, 2, 2, 2,,,, ,,,
57, per annum,"2,000,000", Flat / Apartment," Sabo, Sabo, Yaba, Lagos", 1310400, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6,,, ,,, Furnished
58, per annum,"3,500,000", Terraced Duplex," Inside An Estate, Agungi, Lekki, Lagos", 1310398, 05 May 2022, 05 May 2022, Available, 4, 5, 5,,,, ,,,
59, per annum,"12,000,000", Detached Duplex," Lekki Phase 1, Lekki, Lagos", 1310391, 05 May 2022, 05 May 2022, Available, 4,,,,,,,,,
60, per annum,"1,000,000", Flat / Apartment," Treasure Estate, Sangotedo, Sangotedo, Ajah, Lagos", 1310379, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 2,,, , 200 sqm, 200 sqm,
61, per annum,"10,000,000", Terraced Duplex," Dideolu Estate, Oniru, Victoria Island (VI), Lagos", 1310378, 05 May 2022, 05 May 2022, Available, 4, 4, 5,, Serviced," ₦1,400,000 per annum", ,,,
62, per annum,"250,000", Flat / Apartment," Behind Lasun Hotel, Oroki, Osogbo, Osun", 1226535, 14 Feb 2022, 05 May 2022, Available, 2, 2, 2,, Serviced," ₦50,000 per annum", ,,,
63, per annum,"1,400,000", Self Contain (Single Rooms)," Lekki County Homes, Ikota, Lekki, Lagos", 1303784, 28 Apr 2022, 04 May 2022, Available,, 1, 1, 1, Serviced," ₦150,000 per annum", ,,,
64, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 5,,,,,,
65, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 3, Serviced," ₦40,000 per month", ,,,
66, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5,, Serviced," ₦500,000 ", ,,,
67, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2, 1, Serviced," ₦11,000 per annum",, 600 sqm, 500 sqm,
68, per annum,"12,000,000", Flat / Apartment," 1004 Estate, Victoria Island (VI), Lagos", 1308811, 04 May 2022, 05 May 2022, Available, 2, 2, 2, 4, Serviced,, ,,, Furnished
69, per annum,"5,000,000", Flat / Apartment," Off Marwa Bus Stop Lekki Phase 1, Lekki Phase 1, Lekki, Lagos", 1310460, 05 May 2022, 05 May 2022, Available, 2, 2, 3, 2, Serviced," ₦1,300,000 per annum", ," 1,000 sqm", 600 sqm,
70, per annum,"1,300,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1310459, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 2,,,,,,
71, per annum,"6,000,000", Flat / Apartment," Chevron Drive, Ikota, Lekki, Lagos", 1310456, 05 May 2022, 05 May 2022, Available, 4, 4, 5, 4, Serviced," ₦70,000 per month", ,,,
72, per annum,"10,000,000", House," Alausa, Alausa, Ikeja, Lagos", 1310431, 05 May 2022, 05 May 2022, Available, 4, 4, 5,,,, ,,,
73, per annum,"2,000,000", Flat / Apartment," Borno Way, Ebute Metta East, Yaba, Lagos", 1310426, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6, Serviced," ₦240,000 per annum",,,, Furnished
74, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1310422, 05 May 2022, 05 May 2022, Available, 1, 1, 2, 1,,, ,,, Furnished
75, per annum,"450,000", Self Contain (Single Rooms)," Behind Abraham Adesanya, Roi Estate, Opposite Lekki Scheme 2, Ajiwe, Ajah, Lagos", 1310419, 05 May 2022, 05 May 2022, Available,, 1, 1, 3,,, ,,,
76, per annum,"10,500,000", Flat / Apartment," Victoria Island (VI), Lagos", 1229072, 16 Feb 2022, 05 May 2022, Available, 1, 1, 1, 1, Serviced," ₦5,500,000 per annum", ,,,
77, per annum,"1,000,000", Flat / Apartment," Destiny Homes Estate, Thomas, Ajah, Lagos", 1310402, 05 May 2022, 05 May 2022, Available, 2, 2, 2,,,, ,,,
78, per annum,"2,000,000", Flat / Apartment," Sabo, Sabo, Yaba, Lagos", 1310400, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6,,, ,,, Furnished
79, per annum,"3,500,000", Terraced Duplex," Inside An Estate, Agungi, Lekki, Lagos", 1310398, 05 May 2022, 05 May 2022, Available, 4, 5, 5,,,, ,,,
80, per annum,"12,000,000", Detached Duplex," Lekki Phase 1, Lekki, Lagos", 1310391, 05 May 2022, 05 May 2022, Available, 4,,,,,,,,,
81, per annum,"1,000,000", Flat / Apartment," Treasure Estate, Sangotedo, Sangotedo, Ajah, Lagos", 1310379, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 2,,, , 200 sqm, 200 sqm,
82, per annum,"10,000,000", Terraced Duplex," Dideolu Estate, Oniru, Victoria Island (VI), Lagos", 1310378, 05 May 2022, 05 May 2022, Available, 4, 4, 5,, Serviced," ₦1,400,000 per annum", ,,,
83, per annum,"250,000", Flat / Apartment," Behind Lasun Hotel, Oroki, Osogbo, Osun", 1226535, 14 Feb 2022, 05 May 2022, Available, 2, 2, 2,, Serviced," ₦50,000 per annum", ,,,
84, per annum,"3,000,000", Terraced Duplex," Amity Estate, Sangotedo, Ajah, Lagos", 979164, 17 Jun 2021, 04 May 2022, Available, 3, 3, 4, 2,,,,,,
85, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 5,,,,,,
86, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 3, Serviced," ₦40,000 per month", ,,,
87, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5,, Serviced," ₦500,000 ", ,,,
88, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2, 1, Serviced," ₦11,000 per annum",, 600 sqm, 500 sqm,
89, per annum,"12,000,000", Flat / Apartment," 1004 Estate, Victoria Island (VI), Lagos", 1308811, 04 May 2022, 05 May 2022, Available, 2, 2, 2, 4, Serviced,, ,,, Furnished
90, per annum,"5,000,000", Flat / Apartment," Off Marwa Bus Stop Lekki Phase 1, Lekki Phase 1, Lekki, Lagos", 1310460, 05 May 2022, 05 May 2022, Available, 2, 2, 3, 2, Serviced," ₦1,300,000 per annum", ," 1,000 sqm", 600 sqm,
91, per annum,"1,300,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1310459, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 2,,,,,,
92, per annum,"6,000,000", Flat / Apartment," Chevron Drive, Ikota, Lekki, Lagos", 1310456, 05 May 2022, 05 May 2022, Available, 4, 4, 5, 4, Serviced," ₦70,000 per month", ,,,
93, per annum,"10,000,000", House," Alausa, Alausa, Ikeja, Lagos", 1310431, 05 May 2022, 05 May 2022, Available, 4, 4, 5,,,, ,,,
94, per annum,"2,000,000", Flat / Apartment," Borno Way, Ebute Metta East, Yaba, Lagos", 1310426, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6, Serviced," ₦240,000 per annum",,,, Furnished
95, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1310422, 05 May 2022, 05 May 2022, Available, 1, 1, 2, 1,,, ,,, Furnished
96, per annum,"450,000", Self Contain (Single Rooms)," Behind Abraham Adesanya, Roi Estate, Opposite Lekki Scheme 2, Ajiwe, Ajah, Lagos", 1310419, 05 May 2022, 05 May 2022, Available,, 1, 1, 3,,, ,,,
97, per annum,"10,500,000", Flat / Apartment," Victoria Island (VI), Lagos", 1229072, 16 Feb 2022, 05 May 2022, Available, 1, 1, 1, 1, Serviced," ₦5,500,000 per annum", ,,,
98, per annum,"1,000,000", Flat / Apartment," Destiny Homes Estate, Thomas, Ajah, Lagos", 1310402, 05 May 2022, 05 May 2022, Available, 2, 2, 2,,,, ,,,
99, per annum,"2,000,000", Flat / Apartment," Sabo, Sabo, Yaba, Lagos", 1310400, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6,,, ,,, Furnished
100, per annum,"3,500,000", Terraced Duplex," Inside An Estate, Agungi, Lekki, Lagos", 1310398, 05 May 2022, 05 May 2022, Available, 4, 5, 5,,,, ,,,
101, per annum,"12,000,000", Detached Duplex," Lekki Phase 1, Lekki, Lagos", 1310391, 05 May 2022, 05 May 2022, Available, 4,,,,,,,,,
102, per annum,"1,000,000", Flat / Apartment," Treasure Estate, Sangotedo, Sangotedo, Ajah, Lagos", 1310379, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 2,,, , 200 sqm, 200 sqm,
103, per annum,"10,000,000", Terraced Duplex," Dideolu Estate, Oniru, Victoria Island (VI), Lagos", 1310378, 05 May 2022, 05 May 2022, Available, 4, 4, 5,, Serviced," ₦1,400,000 per annum", ,,,
104, per annum,"250,000", Flat / Apartment," Behind Lasun Hotel, Oroki, Osogbo, Osun", 1226535, 14 Feb 2022, 05 May 2022, Available, 2, 2, 2,, Serviced," ₦50,000 per annum", ,,,
105, per annum,"8,000,000", Terraced Duplex," Oniru, Victoria Island (VI), Lagos", 1243809, 02 Mar 2022, 11 Apr 2022, Available, 5, 5, 6,,,, ,,,
106, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 5,,,,,,
107, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 3, Serviced," ₦40,000 per month", ,,,
108, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5,, Serviced," ₦500,000 ", ,,,
109, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2, 1, Serviced," ₦11,000 per annum",, 600 sqm, 500 sqm,
110, per annum,"12,000,000", Flat / Apartment," 1004 Estate, Victoria Island (VI), Lagos", 1308811, 04 May 2022, 05 May 2022, Available, 2, 2, 2, 4, Serviced,, ,,, Furnished
111, per annum,"5,000,000", Flat / Apartment," Off Marwa Bus Stop Lekki Phase 1, Lekki Phase 1, Lekki, Lagos", 1310460, 05 May 2022, 05 May 2022, Available, 2, 2, 3, 2, Serviced," ₦1,300,000 per annum", ," 1,000 sqm", 600 sqm,
112, per annum,"1,300,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1310459, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 2,,,,,,
113, per annum,"6,000,000", Flat / Apartment," Chevron Drive, Ikota, Lekki, Lagos", 1310456, 05 May 2022, 05 May 2022, Available, 4, 4, 5, 4, Serviced," ₦70,000 per month", ,,,
114, per annum,"10,000,000", House," Alausa, Alausa, Ikeja, Lagos", 1310431, 05 May 2022, 05 May 2022, Available, 4, 4, 5,,,, ,,,
115, per annum,"2,000,000", Flat / Apartment," Borno Way, Ebute Metta East, Yaba, Lagos", 1310426, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6, Serviced," ₦240,000 per annum",,,, Furnished
116, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1310422, 05 May 2022, 05 May 2022, Available, 1, 1, 2, 1,,, ,,, Furnished
117, per annum,"450,000", Self Contain (Single Rooms)," Behind Abraham Adesanya, Roi Estate, Opposite Lekki Scheme 2, Ajiwe, Ajah, Lagos", 1310419, 05 May 2022, 05 May 2022, Available,, 1, 1, 3,,, ,,,
118, per annum,"10,500,000", Flat / Apartment," Victoria Island (VI), Lagos", 1229072, 16 Feb 2022, 05 May 2022, Available, 1, 1, 1, 1, Serviced," ₦5,500,000 per annum", ,,,
119, per annum,"1,000,000", Flat / Apartment," Destiny Homes Estate, Thomas, Ajah, Lagos", 1310402, 05 May 2022, 05 May 2022, Available, 2, 2, 2,,,, ,,,
120, per annum,"2,000,000", Flat / Apartment," Sabo, Sabo, Yaba, Lagos", 1310400, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6,,, ,,, Furnished
121, per annum,"3,500,000", Terraced Duplex," Inside An Estate, Agungi, Lekki, Lagos", 1310398, 05 May 2022, 05 May 2022, Available, 4, 5, 5,,,, ,,,
122, per annum,"12,000,000", Detached Duplex," Lekki Phase 1, Lekki, Lagos", 1310391, 05 May 2022, 05 May 2022, Available, 4,,,,,,,,,
123, per annum,"1,000,000", Flat / Apartment," Treasure Estate, Sangotedo, Sangotedo, Ajah, Lagos", 1310379, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 2,,, , 200 sqm, 200 sqm,
124, per annum,"10,000,000", Terraced Duplex," Dideolu Estate, Oniru, Victoria Island (VI), Lagos", 1310378, 05 May 2022, 05 May 2022, Available, 4, 4, 5,, Serviced," ₦1,400,000 per annum", ,,,
125, per annum,"250,000", Flat / Apartment," Behind Lasun Hotel, Oroki, Osogbo, Osun", 1226535, 14 Feb 2022, 05 May 2022, Available, 2, 2, 2,, Serviced," ₦50,000 per annum", ,,,
126, per annum,"1,400,000", Self Contain (Single Rooms)," Lekki County Homes, Ikota, Lekki, Lagos", 1303789, 28 Apr 2022, 05 May 2022, Available,, 4, 1,, Serviced," ₦150,000 per annum",,,,
127, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 5,,,,,,
128, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, 3, Serviced," ₦40,000 per month", ,,,
129, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5,, Serviced," ₦500,000 ", ,,,
130, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2, 1, Serviced," ₦11,000 per annum",, 600 sqm, 500 sqm,
131, per annum,"12,000,000", Flat / Apartment," 1004 Estate, Victoria Island (VI), Lagos", 1308811, 04 May 2022, 05 May 2022, Available, 2, 2, 2, 4, Serviced,, ,,, Furnished
132, per annum,"5,000,000", Flat / Apartment," Off Marwa Bus Stop Lekki Phase 1, Lekki Phase 1, Lekki, Lagos", 1310460, 05 May 2022, 05 May 2022, Available, 2, 2, 3, 2, Serviced," ₦1,300,000 per annum", ," 1,000 sqm", 600 sqm,
133, per annum,"1,300,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1310459, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 2,,,,,,
134, per annum,"6,000,000", Flat / Apartment," Chevron Drive, Ikota, Lekki, Lagos", 1310456, 05 May 2022, 05 May 2022, Available, 4, 4, 5, 4, Serviced," ₦70,000 per month", ,,,
135, per annum,"10,000,000", House," Alausa, Alausa, Ikeja, Lagos", 1310431, 05 May 2022, 05 May 2022, Available, 4, 4, 5,,,, ,,,
136, per annum,"2,000,000", Flat / Apartment," Borno Way, Ebute Metta East, Yaba, Lagos", 1310426, 05 May 2022, 05 May 2022, Available, 3, 3, 4, 6, Serviced," ₦240,000 per annum",,,, Furnished
137, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1310422, 05 May 2022, 05 May 2022, Available, 1, 1, 2, 1,,, ,,, Furnished
138, per annum,"450,000", Self Contain (Single Rooms)," Behind Abraham Adesanya, Roi Estate, Opposite Lekki Scheme 2, Ajiwe, Ajah, Lagos", 1310419, 05 May 2022, 05 May 2022, Available,, 1, 1, 3,,, ,,,
